sid,cluster_0_ratio,cluster_1_ratio,cluster_2_ratio,cluster_3_ratio,cluster_4_ratio,cluster_5_ratio,cluster_6_ratio,cluster_7_ratio,cluster_8_ratio,cluster_9_ratio
229,0.509803922,0.490196078,0,0,0,0,0,0,0,0
230,0.549019608,0.450980392,0,0,0,0,0,0,0,0
231,0.568627451,0.392156863,0,0,0,0,0.039215686,0,0,0
232,0,0.254901961,0,0,0,0,0,0.745098039,0,0
233,0,0.37254902,0,0,0,0,0.62745098,0,0,0
234,0.411764706,0.411764706,0,0,0,0,0.176470588,0,0,0
235,0.470588235,0.529411765,0,0,0,0,0,0,0,0
236,0.607843137,0.392156863,0,0,0,0,0,0,0,0
237,0.588235294,0.411764706,0,0,0,0,0,0,0,0
238,0.529411765,0.470588235,0,0,0,0,0,0,0,0
239,0.450980392,0,0.176470588,0.137254902,0.137254902,0.078431373,0,0,0.019607843,0
240,0.411764706,0.431372549,0,0,0,0,0,0.156862745,0,0
241,0.117647059,0,0.215686275,0.098039216,0.235294118,0.098039216,0.176470588,0,0.058823529,0
242,0.333333333,0,0,0,0,0.117647059,0,0.294117647,0.254901961,0
243,0.568627451,0.431372549,0,0,0,0,0,0,0,0
244,0.607843137,0,0,0,0,0.078431373,0.019607843,0,0.294117647,0
245,0,0.31372549,0,0,0,0,0,0.68627451,0,0
246,0.470588235,0.37254902,0,0,0,0,0.156862745,0,0,0
247,0.31372549,0.37254902,0,0,0,0,0.31372549,0,0,0
248,0,0.294117647,0,0,0,0,0,0.705882353,0,0
249,0.411764706,0,0.235294118,0.039215686,0.176470588,0.137254902,0,0,0,0
250,0.549019608,0.431372549,0,0,0,0,0,0.019607843,0,0
251,0.274509804,0,0,0,0,0.078431373,0,0.235294118,0.411764706,0
252,0.215686275,0,0.137254902,0.137254902,0.274509804,0.117647059,0.117647059,0,0,0
253,0.568627451,0.431372549,0,0,0,0,0,0,0,0
254,0.411764706,0,0.156862745,0.078431373,0.235294118,0.078431373,0.019607843,0,0.019607843,0
255,0.019607843,0,0.215686275,0.019607843,0,0.098039216,0,0.392156863,0,0.254901961
256,0.039215686,0,0.137254902,0.156862745,0.274509804,0.098039216,0,0.215686275,0.078431373,0
257,0.607843137,0.392156863,0,0,0,0,0,0,0,0
258,0.098039216,0,0.196078431,0.039215686,0.215686275,0.058823529,0.039215686,0.31372549,0.039215686,0
259,0.039215686,0,0.215686275,0.058823529,0.137254902,0.137254902,0,0.411764706,0,0
260,0.019607843,0.490196078,0,0,0,0,0,0.490196078,0,0
